Temperature,Iteration,Precision,Recall,F1,ROUGE-1,ROUGE-2,ROUGE-L
0.001,4,0.8299687473431281,0.7915852600207599,0.7782452777347653,0.8285302811440546,0.7689138219845855,0.8241201997891996
0.1,5,0.8292989122719385,0.7944494345752287,0.7788253992330642,0.827984399673111,0.7679023640871117,0.8232497440272261
0.2,3,0.8288008573615925,0.7903499160673279,0.7763616722091454,0.8280357740987503,0.7680883597038668,0.8234484883119072
0.3,1,0.8264434126984128,0.791907350876035,0.776088363725608,0.8259487327625274,0.7656263593159258,0.8214177050762406
0.4,3,0.8310969497169497,0.7841691602247656,0.7740834988074047,0.820137285686932,0.7581827288124019,0.8155056636071113
0.5,3,0.8323726440226441,0.7791428700518607,0.7715743329204412,0.8174149097207442,0.7551921439112581,0.8128080895830797
0.6,3,0.8258835187035187,0.7806147297563829,0.7680945923209997,0.8146140784016523,0.7510118003940298,0.809800739551223
0.7,3,0.8279944601476955,0.7821271048951048,0.7696444092041452,0.8077588325163593,0.7434156796938293,0.8029070616988574
0.8,5,0.8258733982683983,0.7798706419593479,0.7669417913699985,0.8035503233072067,0.7377917202757377,0.7983245171495734
0.9,2,0.8288791676624031,0.7783946437635005,0.767581276833709,0.8029101275836447,0.7359104122911941,0.7973591571921257
1.0,3,0.828329811650338,0.7752735850438077,0.7656381453815783,0.7978186871566121,0.7299996921116418,0.792027087656125
