Temperature,Iteration,Precision,Recall,F1,ROUGE-1,ROUGE-2,ROUGE-L
0.001,1,0.8303949378193185,0.7916674211929212,0.7785286110680987,0.8284455843631742,0.7688407970986813,0.8240816240968254
0.001,2,0.8300498584542391,0.7914064688119689,0.7782751622946499,0.8284585674308842,0.7688275660133739,0.8240492913595626
0.001,3,0.8301227155970963,0.7917098021453021,0.7784319011113887,0.828501505687783,0.7689589255210578,0.824150347246787
0.001,4,0.8299687473431281,0.7915852600207599,0.7782452777347653,0.8285302811440546,0.7689138219845855,0.8241201997891996
0.001,5,0.8295209695653503,0.7913664688119688,0.7779213527708404,0.8283518006285467,0.7687675633658526,0.823960308908092
0.1,1,0.826806476742212,0.7909162900228427,0.7759324584305036,0.8276009694587164,0.767848013282514,0.8229395552157913
0.1,2,0.8307978438228438,0.7944840472277052,0.7801439819075121,0.8291991499061525,0.7698678342412473,0.824785552451411
0.1,3,0.8302974336774336,0.7901481841064782,0.7775153653452056,0.8277720144954442,0.7677732574039857,0.8232023818261283
0.1,4,0.8304482047072296,0.794474082230635,0.7792542976126194,0.8296029676091065,0.7695861420955115,0.8250415348914446
0.1,5,0.8292989122719385,0.7944494345752287,0.7788253992330642,0.827984399673111,0.7679023640871117,0.8232497440272261
0.2,1,0.8238411272061272,0.7906559182425761,0.773768176707024,0.8251274190607982,0.7646167420376203,0.8204897072458743
0.2,2,0.8283850710045477,0.79243048906563,0.7771343070857653,0.827420883563019,0.7668974998965937,0.8228695883304469
0.2,3,0.8288008573615925,0.7903499160673279,0.7763616722091454,0.8280357740987503,0.7680883597038668,0.8234484883119072
0.2,4,0.8300492846042845,0.7954069959689434,0.7795524175078158,0.8274793211140783,0.7687030168293635,0.8230118885238862
0.2,5,0.8256788339438339,0.7895561558217256,0.7739912325097658,0.8275716462379554,0.7674674027663095,0.823095702242016
0.3,1,0.8264434126984128,0.791907350876035,0.776088363725608,0.8259487327625274,0.7656263593159258,0.8214177050762406
0.3,2,0.8281999170274171,0.7900452556633253,0.7759178228493343,0.8269382466569146,0.7658339719070495,0.822411561045752
0.3,3,0.8306146775446775,0.7916336088151614,0.7775443101768936,0.8237966494791501,0.7634625657010149,0.819349617104524
0.3,4,0.8278115593470855,0.7900908690042328,0.7757964723499299,0.8251088917612261,0.7639177203251102,0.8202670961110391
0.3,5,0.8314423060273061,0.7918483475542345,0.778944083222089,0.8251539569661646,0.7640955420924235,0.8203564581725201
0.4,1,0.8272755733155732,0.7897049222756637,0.775395203943971,0.8233951953038934,0.7614066520225817,0.8187392826430925
0.4,2,0.8221726140526141,0.7877240379912485,0.7709476018816299,0.8215504277158913,0.7599362961483522,0.8164108528133401
0.4,3,0.8310969497169497,0.7841691602247656,0.7740834988074047,0.820137285686932,0.7581827288124019,0.8155056636071113
0.4,4,0.8306986159918514,0.7843778956431463,0.7737012215146291,0.8202294082315958,0.758166345335301,0.8156792605884039
